name,position,start
Mário Soares,Ministro dos Negócios Estrangeiros,1974-05-15
Álvaro Cunhal,Ministro sem pasta,1974-05-15
António do Carmo Galhordas,Secretário de Estado da Saúde,1974-05-15
Joaquim Magalhães Mota,Ministro da Administração Interna,1974-05-16
Mário Firmino Miguel,Ministro da Defesa Nacional,1974-05-16
Francisco Salgado Zenha,Ministro da Justiça,1974-05-16
Adelino da Palma Carlos,Primeiro-Ministro de Portugal,1974-05-16
Manuel da Costa Braz,Ministro da Administração Interna,1974-07-17
José da Silva Lopes,Ministro das Finanças,1974-07-17
Vasco Gonçalves,Primeiro-Ministro de Portugal,1974-07-18
José Vera Jardim,Secretário de Estado,1974-07-23
Henrique José Monteiro Santa Clara Gomes,Secretário de Estado da Segurança Social,1974-07-23
Vítor Alves,Ministro da Defesa Nacional,1974-10-03
João António Lopes da Conceição,Secretário de Estado,1974-12-27
Rui Amaral,Secretário de Estado da Administração Pública,1974-12-27
João Menezes Ferreira,membro do Gabinete do Secretário de Estado da Comunicação Social,1975-01-01
Jorge Correia Jesuíno,Ministro da Comunicação Social,1975-02-24
Silvano Ribeiro,Ministro da Defesa Nacional,1975-02-24
António Carlos de Magalhães Arnao Metello,Ministro da Administração Interna,1975-03-26
Ernesto Melo Antunes,Ministro dos Negócios Estrangeiros,1975-03-26
Mário Soares,Ministro sem pasta,1975-03-26
Rui Amaral,Secretário de Estado da Administração Pública,1975-04-04
Joaquim Rocha e Cunha,Ministro da Justiça,1975-08-08
Mário Ruivo,Ministro dos Negócios Estrangeiros,1975-08-08
João de Freitas Branco,Secretário de Estado da Cultura,1975-08-08
António Carlos de Magalhães Arnao Metello,Vice-Primeiro-Ministro de Portugal,1975-08-08
José Teixeira Ribeiro,Vice-Primeiro-Ministro de Portugal,1975-08-08
Luís Manuel Vítor dos Santos Moita,Secretário de Estado da Emigração,1975-08-20
Vasco Almeida e Costa,Ministro da Administração Interna,1975-09-19
António de Almeida Santos,Ministro da Comunicação Social,1975-09-19
José Pinheiro de Azevedo,Ministro da Defesa Nacional,1975-09-19
João de Deus Pinheiro Farinha,Ministro da Justiça,1975-09-19
Francisco Salgado Zenha,Ministro das Finanças,1975-09-19
Álvaro Veiga de Oliveira,Ministro do Equipamento Social,1975-09-19
