person_id,person_name,position_id,position_name,start_date,end_date
Q355202,Adelino da Palma Carlos,Q1723031,Primeiro-Ministro de Portugal,1974-05-16,1974-07-18
Q712532,Vasco Gonçalves,Q1723031,Primeiro-Ministro de Portugal,1974-07-18,1975-09-19
Q722270,José Pinheiro de Azevedo,Q1723031,Primeiro-Ministro de Portugal,1975-09-19,1976-06-23
Q156781,Mário Soares,Q1723031,Primeiro-Ministro de Portugal,1976-07-23,1978-08-28
Q720915,Alfredo Nobre da Costa,Q1723031,Primeiro-Ministro de Portugal,1978-08-28,1978-11-22
Q388965,Carlos Mota Pinto,Q1723031,Primeiro-Ministro de Portugal,1978-11-22,1979-08-01
Q235916,Maria de Lourdes Pintasilgo,Q1723031,Primeiro-Ministro de Portugal,1979-08-01,1980-01-03
Q367010,Francisco Sá Carneiro,Q1723031,Primeiro-Ministro de Portugal,1980-01-03,1980-12-04
Q438868,Diogo Freitas do Amaral,Q1723031,Primeiro-Ministro de Portugal,1980-12-04,1981-01-09
Q381029,Francisco Pinto Balsemão,Q1723031,Primeiro-Ministro de Portugal,1981-01-09,1983-06-09
Q156781,Mário Soares,Q1723031,Primeiro-Ministro de Portugal,1983-06-09,1985-11-06
Q57398,Aníbal Cavaco Silva,Q1723031,Primeiro-Ministro de Portugal,1985-11-06,1995-10-28
Q311440,António Guterres,Q1723031,Primeiro-Ministro de Portugal,1995-10-28,2002-04-06
Q15849,José Manuel Durão Barroso,Q1723031,Primeiro-Ministro de Portugal,2002-04-06,2004-07-17
Q239248,Pedro Santana Lopes,Q1723031,Primeiro-Ministro de Portugal,2004-07-17,2005-03-12
Q182367,José Sócrates,Q1723031,Primeiro-Ministro de Portugal,2005-03-12,2011-06-21
Q57615,Pedro Passos Coelho,Q1723031,Primeiro-Ministro de Portugal,2011-06-21,2015-11-26
Q610788,António Costa,Q1723031,Primeiro-Ministro de Portugal,2015-11-26,2024-04-02
Q11764394,Luís Montenegro,Q1723031,Primeiro-Ministro de Portugal,2024-04-02,
